Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;1;No Answer;3;Versus;0.00;1.75;1.75;True;+1;False
1;1;No Answer;3;Versus;2.36;4.73;2.38;True;+1;False
2;1;No Answer;3;Versus;5.34;6.55;1.21;True;+1;False
3;1;No Answer;3;Versus;7.16;8.61;1.46;False;+1;False
4;1;No Answer;3;Versus;9.22;10.88;1.67;False;+1;False
5;1;No Answer;3;Versus;11.49;13.60;2.11;False;+1;False
6;1;No Answer;3;Versus;14.20;15.84;1.64;False;+1;False
7;1;No Answer;3;Versus;16.44;18.11;1.67;False;+1;False
8;1;No Answer;3;Versus;18.71;20.01;1.30;False;+1;False
9;1;No Answer;3;Versus;20.62;23.01;2.39;False;-1;False
10;1;No Answer;3;Versus;23.62;25.47;1.85;True;+1;False
11;1;No Answer;3;Versus;26.07;27.20;1.13;True;+1;False
12;1;No Answer;3;Versus;27.81;29.14;1.33;True;+1;False
13;1;No Answer;3;Versus;29.74;31.22;1.48;True;+1;False
14;1;No Answer;3;Versus;31.82;33.40;1.58;True;+1;False
15;1;No Answer;3;Versus;34.01;35.40;1.39;True;+1;False
16;1;No Answer;3;Versus;36.00;37.29;1.29;True;+1;False
17;1;No Answer;3;Versus;37.90;39.29;1.40;True;+1;False
18;1;No Answer;3;Versus;39.89;41.50;1.61;True;+1;False
19;1;No Answer;3;Versus;42.10;43.20;1.10;True;+1;False
20;1;No Answer;3;Versus;43.81;45.01;1.21;True;+1;False
21;1;No Answer;3;Versus;45.62;46.69;1.08;True;+1;False
22;1;No Answer;3;Versus;47.30;48.95;1.66;True;+1;False
23;1;No Answer;3;Versus;49.56;51.03;1.47;True;+1;False
24;1;No Answer;3;Versus;51.63;52.72;1.09;True;+1;False
25;1;No Answer;3;Versus;53.33;54.40;1.07;True;+1;False
26;1;No Answer;3;Versus;55.00;56.16;1.16;True;+1;False
27;1;No Answer;3;Versus;56.77;58.33;1.57;True;+1;False
28;1;No Answer;3;Versus;58.93;60.37;1.44;True;+1;False
29;1;No Answer;3;Versus;60.98;62.20;1.22;True;+1;False
30;1;No Answer;3;Versus;62.80;64.57;1.77;True;-1;False
31;1;No Answer;3;Versus;65.18;66.74;1.56;True;+1;False
32;1;No Answer;3;Versus;67.35;68.72;1.38;True;+1;False
33;1;No Answer;3;Versus;69.33;70.67;1.34;True;+1;False
34;1;No Answer;3;Versus;71.27;72.52;1.25;True;+1;False
35;1;No Answer;3;Versus;73.12;74.13;1.01;True;+1;False
36;1;No Answer;3;Versus;74.74;76.01;1.28;True;+1;False
37;1;No Answer;3;Versus;76.62;78.24;1.62;True;+1;False
38;1;No Answer;3;Versus;78.84;80.00;1.15;True;+1;False
39;1;No Answer;3;Versus;80.60;81.89;1.28;True;+1;False
40;1;No Answer;3;Versus;82.49;83.74;1.25;True;+1;False
41;1;No Answer;3;Versus;84.34;86.41;2.07;True;+1;False
42;1;No Answer;3;Versus;87.02;88.26;1.24;True;+1;False
43;1;No Answer;3;Versus;88.87;90.10;1.23;True;+1;False
44;1;No Answer;3;Versus;90.71;91.78;1.08;True;+1;False
45;1;No Answer;3;Versus;92.38;93.82;1.44;True;+1;False
46;1;No Answer;3;Versus;92.38;94.42;2.04;True;+1;False
47;1;No Answer;3;Versus;94.42;95.03;0.61;True;0;False
48;1;No Answer;3;Versus;95.03;95.63;0.60;True;0;False
49;1;No Answer;3;Versus;95.64;96.08;0.45;True;-1;False
50;1;No Answer;3;Versus;96.24;96.68;0.45;True;0;False
51;1;No Answer;3;Versus;96.69;97.29;0.60;True;0;False
52;1;No Answer;3;Versus;97.29;97.89;0.60;True;0;False
53;1;No Answer;3;Versus;97.89;98.49;0.60;True;0;False
54;1;No Answer;3;Versus;98.49;99.09;0.60;True;0;False
55;1;No Answer;3;Versus;99.09;99.70;0.60;True;0;False
56;1;No Answer;3;Versus;99.70;100.30;0.60;True;0;False
57;1;No Answer;3;Versus;100.30;100.90;0.60;True;0;False
58;1;No Answer;3;Versus;100.90;101.50;0.60;True;0;False
59;1;No Answer;3;Versus;101.51;102.11;0.60;True;0;False
60;1;No Answer;3;Versus;102.11;102.71;0.60;True;0;False
61;1;No Answer;3;Versus;102.71;103.31;0.60;True;0;False
62;1;No Answer;3;Versus;103.31;103.64;0.33;True;0;False
