Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;15;male;3;Versus 2;0,00;2,05;2,05;True;+1;False
1;15;male;3;Versus 2;2,05;4,41;2,35;True;+1;False
2;15;male;3;Versus 2;4,41;5,82;1,41;False;+1;False
3;15;male;3;Versus 2;5,82;8,09;2,28;False;+1;False
4;15;male;3;Versus 2;8,09;10,64;2,55;False;+1;False
5;15;male;3;Versus 2;10,64;15,00;4,36;True;+1;False
6;15;male;3;Versus 2;15,00;16,55;1,55;True;+1;False
7;15;male;3;Versus 2;16,55;18,27;1,73;False;+1;False
8;15;male;3;Versus 2;18,27;19,68;1,40;False;+1;False
9;15;male;3;Versus 2;19,68;21,56;1,88;False;+1;False
10;15;male;3;Versus 2;21,56;23,17;1,60;False;+1;False
11;15;male;3;Versus 2;23,17;24,64;1,47;False;+1;False
12;15;male;3;Versus 2;24,64;25,78;1,14;False;+1;False
13;15;male;3;Versus 2;25,78;27,41;1,63;False;+1;False
14;15;male;3;Versus 2;27,41;29,63;2,22;False;+1;False
15;15;male;3;Versus 2;29,63;32,68;3,04;True;+1;False
16;15;male;3;Versus 2;32,68;35,08;2,41;True;+1;False
17;15;male;3;Versus 2;35,08;38,20;3,12;True;+1;False
18;15;male;3;Versus 2;38,20;40,46;2,26;True;+1;False
19;15;male;3;Versus 2;40,46;41,95;1,49;True;+1;False
20;15;male;3;Versus 2;41,95;43,28;1,33;False;+1;False
21;15;male;3;Versus 2;43,28;44,42;1,15;False;+1;False
22;15;male;3;Versus 2;44,42;45,64;1,21;False;+1;False
23;15;male;3;Versus 2;45,64;47,15;1,51;False;+1;False
24;15;male;3;Versus 2;47,15;48,27;1,12;False;-1;False
25;15;male;3;Versus 2;48,27;49,53;1,26;True;+1;False
26;15;male;3;Versus 2;49,53;51,09;1,56;True;+1;False
27;15;male;3;Versus 2;51,09;52,53;1,44;True;+1;False
28;15;male;3;Versus 2;52,53;53,89;1,36;True;-1;False
29;15;male;3;Versus 2;53,89;56,74;2,84;True;+1;False
30;15;male;3;Versus 2;56,74;61,13;4,39;True;+1;False
31;15;male;3;Versus 2;61,13;64,43;3,30;True;+1;False
32;15;male;3;Versus 2;64,43;66,66;2,23;True;+1;False
33;15;male;3;Versus 2;66,66;68,32;1,66;True;+1;False
34;15;male;3;Versus 2;68,32;71,13;2,81;True;+1;False
35;15;male;3;Versus 2;71,13;72,21;1,08;True;+1;False
36;15;male;3;Versus 2;72,21;74,65;2,43;True;+1;False
37;15;male;3;Versus 2;74,65;76,07;1,42;True;+1;False
38;15;male;3;Versus 2;76,07;77,95;1,88;True;+1;False
39;15;male;3;Versus 2;77,95;79,49;1,53;True;+1;False
40;15;male;3;Versus 2;79,49;80,93;1,44;True;+1;False
41;15;male;3;Versus 2;80,93;82,87;1,94;True;+1;False
42;15;male;3;Versus 2;82,87;84,05;1,18;True;-1;False
43;15;male;3;Versus 2;84,05;87,26;3,21;True;+1;False
44;15;male;3;Versus 2;87,26;88,69;1,43;True;+1;False
45;15;male;3;Versus 2;88,69;94,92;6,24;True;-1;False
46;15;male;3;Versus 2;94,92;98,57;3,65;True;+1;False
47;15;male;3;Versus 2;98,57;100,32;1,75;True;+1;False
48;15;male;3;Versus 2;100,32;101,65;1,33;True;+1;False
49;15;male;3;Versus 2;101,65;104,66;3,01;True;+1;False
50;15;male;3;Versus 2;104,66;105,75;1,10;True;+1;False
51;15;male;3;Versus 2;105,75;108,74;2,99;True;+1;False
52;15;male;3;Versus 2;108,74;110,61;1,87;True;+1;False
53;15;male;3;Versus 2;110,61;114,24;3,63;True;+1;False
54;15;male;3;Versus 2;114,24;118,78;4,54;True;+1;False
