Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;19;male;3;Versus;0,03;2,82;2,79;True;+1;False
1;19;male;3;Versus;2,82;5,70;2,88;True;+1;False
2;19;male;3;Versus;5,70;7,46;1,75;True;+1;False
3;19;male;3;Versus;7,46;9,34;1,88;False;+1;False
4;19;male;3;Versus;9,34;10,95;1,61;False;+1;False
5;19;male;3;Versus;10,95;15,37;4,42;True;+1;False
6;19;male;3;Versus;15,37;17,29;1,93;True;+1;False
7;19;male;3;Versus;17,29;19,49;2,20;True;+1;False
8;19;male;3;Versus;19,49;21,82;2,33;True;+1;False
9;19;male;3;Versus;21,82;23,61;1,79;False;+1;False
10;19;male;3;Versus;23,61;25,98;2,37;False;+1;False
11;19;male;3;Versus;25,98;27,34;1,36;False;+1;False
12;19;male;3;Versus;27,34;28,70;1,36;False;+1;False
13;19;male;3;Versus;28,70;30,29;1,59;False;+1;False
14;19;male;3;Versus;30,29;32,78;2,49;False;+1;False
15;19;male;3;Versus;32,78;34,61;1,83;False;+1;False
16;19;male;3;Versus;34,61;37,19;2,58;False;+1;False
17;19;male;3;Versus;37,19;38,87;1,68;False;+1;False
18;19;male;3;Versus;38,87;40,71;1,84;False;+1;False
19;19;male;3;Versus;40,71;42,49;1,78;False;+1;False
20;19;male;3;Versus;42,49;44,12;1,63;False;+1;False
21;19;male;3;Versus;44,12;45,54;1,42;False;+1;False
22;19;male;3;Versus;45,54;47,08;1,54;False;+1;False
23;19;male;3;Versus;47,08;49,04;1,95;False;+1;False
24;19;male;3;Versus;49,04;50,93;1,89;False;+1;False
25;19;male;3;Versus;50,93;52,60;1,68;False;+1;False
26;19;male;3;Versus;52,60;54,16;1,56;False;+1;False
27;19;male;3;Versus;54,16;56,81;2,65;False;+1;False
28;19;male;3;Versus;56,81;58,63;1,82;False;+1;False
29;19;male;3;Versus;58,63;60,29;1,67;False;+1;False
30;19;male;3;Versus;60,29;62,27;1,98;False;-1;False
31;19;male;3;Versus;62,27;64,50;2,23;True;+1;False
32;19;male;3;Versus;64,50;67,41;2,91;True;+1;False
33;19;male;3;Versus;67,41;69,37;1,96;True;-1;False
34;19;male;3;Versus;69,37;71,23;1,87;True;-1;False
35;19;male;3;Versus;71,23;72,98;1,75;True;+1;False
36;19;male;3;Versus;72,98;74,85;1,87;True;+1;False
37;19;male;3;Versus;74,85;76,37;1,52;True;+1;False
38;19;male;3;Versus;76,37;77,84;1,47;True;+1;False
39;19;male;3;Versus;77,84;80,00;2,17;True;+1;False
40;19;male;3;Versus;80,00;81,90;1,90;True;+1;False
41;19;male;3;Versus;81,90;85,24;3,35;True;-1;False
42;19;male;3;Versus;85,24;87,22;1,97;True;+1;False
43;19;male;3;Versus;87,22;88,80;1,58;True;-1;False
44;19;male;3;Versus;88,80;90,60;1,80;True;+1;False
45;19;male;3;Versus;90,60;93,26;2,66;True;0;False
46;19;male;3;Versus;93,26;96,26;3,00;True;+1;False
47;19;male;3;Versus;96,26;98,35;2,09;True;+1;False
48;19;male;3;Versus;98,35;99,87;1,52;True;+1;False
49;19;male;3;Versus;99,87;101,81;1,94;True;+1;False
50;19;male;3;Versus;101,81;102,92;1,10;True;+1;False
51;19;male;3;Versus;102,92;104,46;1,55;True;+1;False
52;19;male;3;Versus;104,46;106,08;1,62;True;+1;False
53;19;male;3;Versus;106,08;108,53;2,45;True;+1;False
54;19;male;3;Versus;108,53;110,02;1,49;True;-1;False
55;19;male;3;Versus;110,02;112,34;2,32;True;+1;False
56;19;male;3;Versus;112,34;114,21;1,88;True;0;False
57;19;male;3;Versus;114,21;116,08;1,87;True;-1;False
58;19;male;3;Versus;116,08;117,93;1,85;True;+1;False
59;19;male;3;Versus;117,93;119,32;1,38;True;+1;False
