Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;7;male;2;Halb-Coop;0.00;1.61;1.61;False;+1;False
1;7;male;2;Halb-Coop;1.61;3.26;1.65;False;+1;False
2;7;male;2;Halb-Coop;3.26;4.90;1.64;False;+1;False
3;7;male;2;Halb-Coop;4.90;6.11;1.21;False;+1;False
4;7;male;2;Halb-Coop;6.11;7.60;1.49;False;+1;False
5;7;male;2;Halb-Coop;7.60;9.46;1.86;False;+1;False
6;7;male;2;Halb-Coop;9.46;13.23;3.77;False;+1;False
7;7;male;2;Halb-Coop;13.23;15.02;1.79;False;+1;False
8;7;male;2;Halb-Coop;15.02;16.15;1.14;False;+1;False
9;7;male;2;Halb-Coop;16.15;17.46;1.31;False;+1;False
10;7;male;2;Halb-Coop;17.46;18.82;1.36;False;+1;False
11;7;male;2;Halb-Coop;18.82;19.88;1.06;False;+1;False
12;7;male;2;Halb-Coop;19.88;21.60;1.72;False;+1;False
13;7;male;2;Halb-Coop;21.60;23.22;1.63;False;+1;False
14;7;male;2;Halb-Coop;23.22;25.75;2.53;False;+1;False
15;7;male;2;Halb-Coop;25.75;26.81;1.06;False;+1;False
16;7;male;2;Halb-Coop;26.81;28.28;1.47;False;+1;False
17;7;male;2;Halb-Coop;28.28;29.93;1.65;False;+1;False
18;7;male;2;Halb-Coop;29.93;30.99;1.06;False;+1;False
19;7;male;2;Halb-Coop;30.99;32.03;1.04;False;+1;False
20;7;male;2;Halb-Coop;32.03;33.64;1.62;False;+1;False
21;7;male;2;Halb-Coop;33.64;35.53;1.88;False;+1;False
22;7;male;2;Halb-Coop;35.53;37.18;1.66;False;-1;False
23;7;male;2;Halb-Coop;37.18;38.86;1.67;False;+1;False
24;7;male;2;Halb-Coop;38.86;42.18;3.33;False;+1;False
25;7;male;2;Halb-Coop;42.18;43.74;1.56;False;+1;False
26;7;male;2;Halb-Coop;43.74;45.22;1.47;False;+1;False
27;7;male;2;Halb-Coop;45.22;46.21;1.00;False;+1;False
28;7;male;2;Halb-Coop;46.21;47.80;1.59;False;+1;False
29;7;male;2;Halb-Coop;47.80;49.36;1.56;False;+1;False
30;7;male;2;Halb-Coop;49.36;50.69;1.33;False;+1;False
31;7;male;2;Halb-Coop;50.69;51.95;1.27;False;+1;False
32;7;male;2;Halb-Coop;51.95;53.55;1.60;False;-1;False
33;7;male;2;Halb-Coop;53.55;55.03;1.48;False;+1;False
34;7;male;2;Halb-Coop;55.03;56.53;1.50;False;+1;False
35;7;male;2;Halb-Coop;56.53;57.78;1.24;False;+1;False
36;7;male;2;Halb-Coop;57.78;59.78;2.00;False;+1;False
37;7;male;2;Halb-Coop;59.78;61.18;1.41;False;+1;False
38;7;male;2;Halb-Coop;61.18;62.22;1.04;False;+1;False
39;7;male;2;Halb-Coop;62.22;63.95;1.72;False;+1;False
40;7;male;2;Halb-Coop;63.95;65.49;1.54;False;+1;False
41;7;male;2;Halb-Coop;65.49;66.90;1.41;False;+1;False
42;7;male;2;Halb-Coop;66.90;68.52;1.62;False;+1;False
43;7;male;2;Halb-Coop;68.52;69.90;1.38;False;+1;False
44;7;male;2;Halb-Coop;69.90;71.58;1.67;False;+1;False
45;7;male;2;Halb-Coop;71.58;73.36;1.78;False;+1;False
46;7;male;2;Halb-Coop;73.36;75.45;2.09;False;+1;False
47;7;male;2;Halb-Coop;75.45;76.95;1.50;False;+1;False
48;7;male;2;Halb-Coop;76.95;78.87;1.92;False;+1;False
49;7;male;2;Halb-Coop;78.87;82.52;3.64;False;+1;False
50;7;male;2;Halb-Coop;82.52;83.76;1.25;False;+1;False
51;7;male;2;Halb-Coop;83.76;85.05;1.29;False;+1;False
52;7;male;2;Halb-Coop;85.05;89.53;4.48;False;+1;False
53;7;male;2;Halb-Coop;89.53;90.80;1.27;False;+1;False
54;7;male;2;Halb-Coop;90.80;92.04;1.24;False;+1;False
55;7;male;2;Halb-Coop;92.04;93.64;1.61;False;+1;False
56;7;male;2;Halb-Coop;93.64;94.97;1.32;False;+1;False
57;7;male;2;Halb-Coop;94.97;96.06;1.10;False;+1;False
58;7;male;2;Halb-Coop;96.06;97.59;1.53;False;+1;False
59;7;male;2;Halb-Coop;97.59;98.82;1.23;False;+1;False
60;7;male;2;Halb-Coop;98.82;102.60;3.78;False;+1;False
61;7;male;2;Halb-Coop;102.60;106.24;3.64;False;+1;False
62;7;male;2;Halb-Coop;106.24;107.89;1.65;False;+1;False
63;7;male;2;Halb-Coop;107.89;110.38;2.49;False;+1;False
64;7;male;2;Halb-Coop;110.38;112.64;2.25;False;+1;False
65;7;male;2;Halb-Coop;112.64;114.08;1.45;False;+1;False
66;7;male;2;Halb-Coop;114.08;116.93;2.85;False;-1;False
67;7;male;2;Halb-Coop;116.93;119.51;2.58;False;+1;False
