Task ID;Participant ID;Gender;Turn;Modus;TimestampStart;TimestampEnd;Duration;Behind;Point;Supervisor
0;2;male;2;Halb-Coop;0.00;2.18;2.18;True;+1;False
1;2;male;2;Halb-Coop;2.18;3.76;1.58;True;+1;False
2;2;male;2;Halb-Coop;3.76;5.51;1.75;False;+1;False
3;2;male;2;Halb-Coop;5.51;7.60;2.09;False;+1;False
4;2;male;2;Halb-Coop;7.60;9.06;1.46;False;+1;False
5;2;male;2;Halb-Coop;9.06;11.02;1.96;False;+1;False
6;2;male;2;Halb-Coop;11.02;13.73;2.70;False;+1;False
7;2;male;2;Halb-Coop;13.73;15.48;1.75;False;+1;False
8;2;male;2;Halb-Coop;15.48;16.63;1.15;False;+1;False
9;2;male;2;Halb-Coop;16.63;17.89;1.26;False;+1;False
10;2;male;2;Halb-Coop;17.89;19.20;1.31;False;+1;False
11;2;male;2;Halb-Coop;19.20;20.18;0.98;False;+1;False
12;2;male;2;Halb-Coop;20.18;21.55;1.38;False;+1;False
13;2;male;2;Halb-Coop;21.55;22.84;1.29;False;+1;False
14;2;male;2;Halb-Coop;22.84;24.32;1.48;False;+1;False
15;2;male;2;Halb-Coop;24.32;25.48;1.16;False;+1;False
16;2;male;2;Halb-Coop;25.48;27.87;2.39;False;+1;False
17;2;male;2;Halb-Coop;27.87;29.14;1.28;False;+1;False
18;2;male;2;Halb-Coop;29.14;30.31;1.17;False;+1;False
19;2;male;2;Halb-Coop;30.31;31.47;1.16;False;+1;False
20;2;male;2;Halb-Coop;31.47;33.27;1.81;False;+1;False
21;2;male;2;Halb-Coop;33.27;34.96;1.69;False;+1;False
22;2;male;2;Halb-Coop;34.96;36.82;1.85;False;+1;False
23;2;male;2;Halb-Coop;36.82;38.42;1.61;False;+1;False
24;2;male;2;Halb-Coop;38.42;39.86;1.44;False;+1;False
25;2;male;2;Halb-Coop;39.86;41.23;1.37;False;+1;False
26;2;male;2;Halb-Coop;41.23;42.01;0.77;False;0;False
